"ds","y","cap"
"1918-04-01",17.47192764,25.262
"1918-05-01",20.3524188,25.262
"1918-06-01",21.69772621,25.262
"1918-07-01",23.07789003,25.262
"1918-08-01",22.71295726,25.262
"1918-09-01",21.17890427,25.262
"1918-10-01",18.58921766,25.262
"1918-11-01",14.60366752,25.262
"1918-12-01",11.65935613,25.262
"1919-01-01",10.87470256,25.271
"1919-02-01",12.01915783,25.271
"1919-03-01",14.96615499,25.271
"1919-04-01",18.03188832,25.271
"1919-05-01",20.43061368,25.271
"1919-06-01",22.34486923,25.271
"1919-07-01",22.88506211,25.271
"1919-08-01",22.85540342,25.271
"1919-09-01",21.30987151,25.271
"1919-10-01",18.16331083,25.271
"1919-11-01",14.32464758,25.271
"1919-12-01",11.42870655,25.271
"1920-01-01",11.23364501,25.28
"1920-02-01",11.53055014,25.28
"1920-03-01",15.1751661,25.28
"1920-04-01",18.14740057,25.28
"1920-05-01",20.72770228,25.28
"1920-06-01",22.14102336,25.28
"1920-08-01",22.75495726,25.28
"1920-09-01",21.22888575,25.28
"1920-10-01",18.00236211,25.28
"1920-11-01",14.46152336,25.28
"1920-12-01",11.32313732,25.28
"1921-01-01",11.57443362,25.289
"1921-02-01",12.08934103,25.289
"1921-03-01",15.38707806,25.289
"1921-04-01",18.2150057,25.289
"1921-05-01",21.03942108,25.289
"1921-06-01",22.11515641,25.289
"1921-07-01",23.3651265,25.289
"1921-08-01",22.94557265,25.289
"1921-09-01",21.0542245,25.289
"1921-10-01",18.23434644,25.289
"1921-11-01",14.14579772,25.289
"1921-12-01",11.90001311,25.289
"1922-01-01",10.20173504,25.298
"1922-02-01",12.27517892,25.298
"1922-03-01",15.04204501,25.298
"1922-04-01",18.00438718,25.298
"1922-05-01",20.96718148,25.298
"1922-06-01",22.39156467,25.298
"1922-07-01",23.19003447,25.298
"1922-08-01",22.97902194,25.298
"1922-09-01",21.06951026,25.298
"1922-10-01",17.87877009,25.298
"1922-11-01",14.60014729,25.298
"1922-12-01",11.77778405,25.298
"1923-01-01",11.05137179,25.307
"1923-02-01",11.53833789,25.307
"1923-03-01",15.13049744,25.307
"1923-04-01",17.50447236,25.307
"1923-05-01",20.57712023,25.307
"1923-06-01",22.04255071,25.307
"1923-07-01",22.97227322,25.307
"1923-08-01",22.8048698,25.307
"1923-09-01",21.22850342,25.307
"1923-10-01",18.34433333,25.307
"1923-11-01",15.1061,25.307
"1923-12-01",12.0588906,25.307
"1924-01-01",10.58964644,25.316
"1924-02-01",11.60545356,25.316
"1924-03-01",14.49475613,25.316
"1924-04-01",17.99690399,25.316
"1924-05-01",20.7137943,25.316
"1924-06-01",22.58229145,25.316
"1924-07-01",23.12041823,25.316
"1924-08-01",22.79241994,25.316
"1924-09-01",21.24494501,25.316
"1924-10-01",18.07473875,25.316
"1924-11-01",14.53327521,25.316
"1924-12-01",11.5401453,25.316
"1925-01-01",10.62255442,25.325
"1925-02-01",12.19962137,25.325
"1925-03-01",14.84316695,25.325
"1925-04-01",17.98977265,25.325
"1925-05-01",20.64878034,25.325
"1925-06-01",22.03031909,25.325
"1925-07-01",22.96279459,25.325
"1925-08-01",23.01695698,25.325
"1925-09-01",21.22319886,25.325
"1925-10-01",18.09687664,25.325
"1925-11-01",14.93482108,25.325
"1925-12-01",11.81480228,25.325
"1926-01-01",11.12197692,25.334
"1926-02-01",12.8571,25.334
"1926-03-01",14.94952279,25.334
"1926-04-01",17.70993048,25.334
"1926-05-01",20.53974302,25.334
"1926-06-01",22.32533561,25.334
"1926-07-01",23.10581994,25.334
"1926-08-01",23.00617037,25.334
"1926-09-01",21.55352279,25.334
